atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
37281,Palmeiras,-0.62,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37646,Avaí,0,0.0,zag,0.0,6,1,0.0,0.0,20,1,3,28,0.0,0.0,0.0,0.0,0.0,50,0.0,32,6
37246,Goiás,4.01,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38196,Grêmio,0,0.0,mei,2,6,0.0,0.0,0.0,16,3,4,10,0.0,3,0.0,0.0,0.0,37,0.0,16,0.0
37655,Goiás,7.4,0.0,ata,0.0,4,1,0.0,0.0,47,3,16,24,0.0,5,0.0,0.0,5,24,0.0,8,0.0
68954,Cruzeiro,0,0.0,mei,2,2,0.0,0.0,0.0,13,5,7,18,1,0.0,0.0,0.0,2,29,0.0,17,0.0
37662,Atlético-PR,5,0.0,lat,0.0,2,0.0,0.0,0.0,5,1,0.0,4,0.0,1,0.0,0.0,0.0,7,0.0,6,3
37614,Santos,0,0.0,mei,4,1,1,0.0,0.0,30,4,4,25,0.0,0.0,0.0,0.0,2,23,0.0,17,0.0
37657,Palmeiras,0,0.0,zag,0.0,0.0,0.0,0.0,0.0,3,1,3,2,0.0,0.0,0.0,0.0,0.0,1,0.0,4,2
37656,Cruzeiro,1,0.0,gol,0.0,2,0.0,41,2,0.0,0.0,0.0,5,0.0,0.0,0.0,35,0.0,13,0.0,0.0,12
37673,CSA,0,0.0,ata,0.0,1,0.0,0.0,0.0,20,6,11,11,0.0,2,0.0,0.0,7,19,1,7,0.0
38515,Avaí,1.2,0.0,zag,0.0,2,0.0,0.0,0.0,16,0.0,9,9,1,0.0,0.0,0.0,1,26,0.0,20,2
38545,Palmeiras,0,0.0,mei,1,7,1,0.0,0.0,32,4,14,26,0.0,3,0.0,0.0,1,41,0.0,26,0.0
38523,Cruzeiro,0,0.0,lat,0.0,2,2,0.0,0.0,16,0.0,5,10,2,0.0,0.0,0.0,0.0,26,0.0,18,4
38648,São Paulo,0,0.0,mei,4,4,0.0,0.0,0.0,23,13,15,24,0.0,2,0.0,0.0,1,26,0.0,24,0.0
38750,Flamengo,0,0.0,lat,0.0,0.0,0.0,0.0,0.0,21,1,0.0,10,0.0,0.0,0.0,0.0,0.0,31,0.0,40,6
38910,Atlético-MG,0,0.0,ata,2,0.0,0.0,0.0,0.0,15,9,14,17,1,2,0.0,0.0,2,11,1,6,0.0
38632,Fluminense,0,0.0,zag,0.0,1,0.0,0.0,0.0,7,4,3,2,0.0,1,0.0,0.0,1,6,0.0,11,0.0
38573,CSA,1,0.0,mei,0.0,3,0.0,0.0,0.0,11,0.0,2,7,0.0,0.0,0.0,0.0,0.0,12,0.0,9,0.0
38738,Avaí,0,0.0,mei,1,1,0.0,0.0,0.0,3,1,6,8,0.0,0.0,0.0,0.0,2,34,0.0,2,0.0
38909,Flamengo,1.2,0.0,mei,0.0,5,0.0,0.0,0.0,12,7,9,21,2,0.0,0.0,0.0,0.0,32,1,9,0.0
38959,Corinthians,0,0.0,ata,0.0,4,0.0,0.0,0.0,30,5,11,35,0.0,5,0.0,0.0,9,33,0.0,13,0.0
